"region","spot id","表示名","spot種別","landmark","secret","hub","出口","みち本数","crowd","zone","実画面で見える特徴","分類","発見通知の妥当性","推奨通知レベル","必要なscenery修正","備考"
"home","gate","いえのまえ","plaza","","","","","1","1","いえのまえ","ひろばの じめん(alpha .5)だけ","D","画面は その へんの 地面と おなじ。何も ない","L0","",""
"home","yard","にわ","plaza","","","yes","","4","7","いえのまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"home","house","おうちのよこ","rest","","","","","3","3","いえのまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"home","shed","のきした","shelter","","","","","3","3","いえのまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"home","lane","こみち","path","","","","","2","1","うらにわ","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"home","garden","はなばたけ","grove","","","","","4","3","うらにわ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"home","bench","ベンチ","rest","","","","","3","3","うらにわ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"home","veg","はたけ","grove","","","","","2","2","うらにわ","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"home","park","こうえん","plaza","","","","","5","6","うらにわ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"home","alley","いえのうらみち","path","","","","","2","0","となりのこみち","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"home","hedge","いけがきのかど","path","","","","","3","1","となりのこみち","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"home","pond","ひみつのいけ","water","","yes","","","2","1","おおきなきのまわり","専用の もの(struct/絵文字 175-230) / あおい みずたまり(半径いっぱい) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"home","swing","きのしたのブランコ","rest","","","","","2","3","おおきなきのまわり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"home","bigtree","おおきなき","edge","bigtree","","","gate","2","2","おおきなきのまわり","専用の おおきな めじるし(size560) / カメラが 引く(430→560/600)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","","cam=wide"
